Min Plate Aspect Ratio	Max Plate Aspect Ratio	Time running	Best Time	Worst Time	Total pictures	Total tracks	Correct Images	Correct tracks
5.5	8.5	474.6975987	0.115198374	0.404727936	1080	36	0.176851852	0.722222222
5.5	9	478.0093322	0.123179913	0.392915249	1080	36	0.176851852	0.722222222
5.5	9.5	465.7220125	0.103723049	0.35560298	1080	36	0.176851852	0.722222222
5.5	10	482.8881128	0.11768508	0.369013071	1080	36	0.176851852	0.722222222
5.5	6	267.9201694	0.089736938	0.213397741	1080	36	0.168518519	0.694444444
2	5.5	284.0224886	0.098824501	0.208450794	1080	36	0.184259259	0.611111111
2.5	5.5	285.0401552	0.088762045	0.185507298	1080	36	0.184259259	0.611111111
3	5.5	261.268157	0.090865374	0.190590382	1080	36	0.184259259	0.611111111
3.5	5.5	259.8496995	0.091752768	0.212443352	1080	36	0.184259259	0.611111111
4	5.5	259.326242	0.087768316	0.185502291	1080	36	0.184259259	0.611111111
4.5	5.5	258.5078588	0.09075737	0.182661772	1080	36	0.184259259	0.611111111
5	5.5	256.4518681	0.088762999	0.186783791	1080	36	0.176851852	0.611111111
2	5	202.6835032	0.080762863	0.178032637	1080	36	0.022222222	0.166666667
2.5	5	201.8315125	0.080780745	0.17652607	1080	36	0.022222222	0.166666667
3	5	201.2555985	0.079815388	0.178522348	1080	36	0.022222222	0.166666667
3.5	5	200.2644141	0.080783129	0.178107023	1080	36	0.022222222	0.166666667
4	5	199.4139891	0.080758095	0.167604208	1080	36	0.022222222	0.166666667
4.5	5	197.8512101	0.080762625	0.173512459	1080	36	0.022222222	0.166666667
6	8	473.2831016	0.129653692	0.374985218	1080	36	0.014814815	0.138888889
6	6.5	462.6375647	0.114694357	0.377034664	1080	36	0.012962963	0.138888889
6	7	466.5417073	0.111700535	0.318210125	1080	36	0.014814815	0.138888889
6	7.5	471.7918217	0.103725195	0.359122276	1080	36	0.014814815	0.138888889
6	8.5	459.3533943	0.11669302	0.304749012	1080	36	0.014814815	0.138888889
6	9	475.3593736	0.121700764	0.384000778	1080	36	0.014814815	0.138888889
6	9.5	473.3218527	0.116690159	0.331912518	1080	36	0.014814815	0.138888889
6	10	475.2795007	0.118560791	0.304891586	1080	36	0.014814815	0.138888889
6.5	8	278.3856232	0.089758158	0.196473837	1080	36	0.002777778	0.055555556
6.5	8.5	278.646178	0.093720675	0.201482534	1080	36	0.002777778	0.055555556
6.5	9	280.4644997	0.092756987	0.195643187	1080	36	0.002777778	0.055555556
6.5	9.5	279.0448985	0.090487242	0.190997601	1080	36	0.002777778	0.055555556
6.5	10	280.1542923	0.091754675	0.195956469	1080	36	0.003703704	0.055555556
6.5	7.5	246.7298596	0.102725267	0.206456661	1080	36	0.002777778	0.055555556
7	8	287.5210764	0.094746828	0.204473972	1080	36	0.000925926	0.027777778
7.5	8	582.8735013	0.162512541	0.441445827	1080	36	0.000925926	0.027777778
6.5	7	228.1678197	0.083750486	0.18550396	1080	36	0.000925926	0.027777778
7	8.5	283.7190709	0.090786695	0.203268528	1080	36	0.000925926	0.027777778
7	9	326.1545513	0.089787006	0.390549183	1080	36	0.000925926	0.027777778
7	9.5	591.5283294	0.143954039	0.510514259	1080	36	0.000925926	0.027777778
7	10	607.5513692	0.158202887	0.409490108	1080	36	0.001851852	0.027777778
7	7.5	230.9280226	0.105716705	0.156582594	1080	36	0.001851852	0.027777778
7.5	8.5	617.5638397	0.160695314	0.424161434	1080	36	0.000925926	0.027777778
7.5	9	569.9879355	0.117684841	0.395601749	1080	36	0.000925926	0.027777778
7.5	9.5	592.5118644	0.169264317	0.469374418	1080	36	0.000925926	0.027777778
7.5	10	586.6794648	0.159832239	0.439666986	1080	36	0.001851852	0.027777778
8	8.5	570.6230626	0.154638052	0.445458651	1080	36	0.000925926	0.027777778
8	9	572.5225241	0.139653683	0.261852026	1080	36	0.000925926	0.027777778
8	9.5	378.5901685	0.128813028	0.208974838	1080	36	0.000925926	0.027777778
8	10	284.578845	0.095743418	0.220946312	1080	36	0.001851852	0.027777778
8.5	10	280.9151394	0.092919588	0.197473049	1080	36	0.000925926	0.027777778
9	10	279.420907	0.094724417	0.225018024	1080	36	0.000925926	0.027777778
9.5	10	278.8022199	0.090781212	0.206924915	1080	36	0.000925926	0.027777778
2	2.5	99.9085269	0.069918156	0.085771084	1080	36	0	0
2	3	99.49079108	0.068324327	0.085843086	1080	36	0	0
2	3.5	100.4008555	0.070779085	0.084795952	1080	36	0	0
2	4	99.64201355	0.068820953	0.084798336	1080	36	0	0
2	4.5	100.2585599	0.070359707	0.084798336	1080	36	0	0
2.5	3	98.27688169	0.06781888	0.084356785	1080	36	0	0
2.5	3.5	98.23798943	0.068820477	0.084744453	1080	36	0	0
2.5	4	98.28642321	0.06881547	0.085238934	1080	36	0	0
2.5	4.5	98.44325137	0.068789721	0.0849967	1080	36	0	0
3	3.5	98.44338274	0.068986893	0.08479166	1080	36	0	0
3	4	98.46517944	0.067847729	0.083775759	1080	36	0	0
3	4.5	98.47649169	0.068842173	0.084794521	1080	36	0	0
3.5	4	98.36343765	0.068820953	0.084750414	1080	36	0	0
3.5	4.5	98.41978097	0.069789171	0.084773064	1080	36	0	0
4	4.5	98.27241445	0.068822622	0.084769011	1080	36	0	0
8.5	9	98.28689003	0.068370819	0.084773302	1080	36	0	0
8.5	9.5	98.40198731	0.067818642	0.089788198	1080	36	0	0
9	9.5	98.24563599	0.068843603	0.083797216	1080	36	0	0
